pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,2019-09-28,80.2,2.6287,5.6424,Hyun-Jin Ryu,457763,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,0,0,2019,1.1731,0.4591,0.9612,3.4522,null,null,null,1,6,Bot,null,null,431145,190928_214401,-5.8923,-116.7086,0.996,11.7957,22.1568,-28.4055,3.3984,1.5986,null,null,null,80.132,1429,6.26,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.2399,null,null,null,null,null,null,null,44,1,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic
CH,2019-09-28,81.5,2.6716,5.6198,Hyun-Jin Ryu,643289,547943,strikeout,swinging_strike,,14,Mauricio Dubon strikes out swinging.  ,R,R,L,SF,LAD,S,2,null,1,2,2019,1.4149,0.3751,1.2764,2.0881,null,null,null,0,6,Bot,null,null,431145,190928_214332,-5.8849,-118.5967,-2.1072,14.531,21.4056,-28.4191,3.3427,1.5371,null,null,null,81.982,1651,6.487,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.0125,null,null,0,1,0,0,null,43,4,Changeup,0,2,0,2,2,0,0,2,Standard,Standard
CH,2019-09-28,82.9,2.3361,5.7122,Hyun-Jin Ryu,643289,547943,null,swinging_strike,,13,null,R,R,L,SF,LAD,S,null,null,1,1,2019,1.0031,0.6574,-0.1403,1.1681,null,null,null,0,6,Bot,null,null,431145,190928_214312,-7.6571,-120.57,-5.2632,11.257,21.236,-24.9398,3.0693,1.4094,null,null,null,83.524,1722,6.52,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,53.9794,null,null,null,null,null,null,null,43,3,Changeup,0,2,0,2,2,0,0,2,Standard,Standard
FF,2019-09-28,90,2.3241,5.803,Hyun-Jin Ryu,643289,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,0,1,2019,0.6769,1.0596,0.326,3.7956,null,null,null,0,6,Bot,null,null,431145,190928_214258,-6.4072,-130.8885,-1.2397,9.1719,28.5086,-19.9488,3.0974,1.4919,null,null,null,90.031,2094,6.413,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.087,null,null,null,null,null,null,null,43,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard
FC,2019-09-28,86.5,2.2502,5.8868,Hyun-Jin Ryu,643289,547943,null,called_strike,,2,null,R,R,L,SF,LAD,S,null,null,0,0,2019,-0.0307,0.8282,-0.1049,2.7574,null,null,null,0,6,Bot,null,null,431145,190928_214243,-5.5656,-125.9861,-3.0476,0.6183,21.4787,-22.9064,3.1032,1.4397,null,null,null,87.262,2074,6.364,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.1353,null,null,null,null,null,null,null,43,1,Cutter,0,2,0,2,2,0,0,2,Standard,Standard
FC,2019-09-28,88.1,2.2753,5.8302,Hyun-Jin Ryu,456781,547943,force_out,hit_into_play,,4,"Donovan Solano grounds into a force out, fielded by third baseman Matt Beaty.   Joey Rickard out at 3rd.  ",R,R,L,SF,LAD,X,5,ground_ball,0,0,2019,-0.2567,0.6429,-0.7942,2.093,null,572073,657277,2,5,Bot,99.66,163.9,431145,190928_213008,-6.9128,-128.2345,-4.386,-1.6378,22.4167,-24.4669,3.08,1.45,4,54.1,-24.4,88.494,2082,6.177,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.3229,0.076,0.063,0,1,0,0,1,38,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard
FF,2019-09-28,90.9,2.4377,5.559,Hyun-Jin Ryu,657277,547943,single,hit_into_play_no_out,,6,Logan Webb singles on a sharp line drive to right fielder Joc Pederson.   Joey Rickard to 2nd.  ,R,R,L,SF,LAD,X,9,line_drive,0,0,2019,0.9181,0.8682,0.4917,2.4191,null,null,572073,2,5,Bot,187.43,99.34,431145,190928_212918,-6.9245,-132.3655,-3.9172,12.3525,26.2212,-21.1976,3.4839,1.6532,226,100.2,10.4,91.911,2061,6.698,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.802,0.816,0.785,0.9,1,1,0,4,37,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard
FF,2019-09-28,93.1,2.3649,5.5994,Hyun-Jin Ryu,572073,547943,single,hit_into_play_no_out,,12,Joey Rickard singles on a line drive to left fielder Chris Taylor.  ,R,R,L,SF,LAD,X,7,line_drive,2,2,2019,0.8591,0.8916,0.2234,3.3425,null,null,null,2,5,Bot,86.61,102.01,431145,190928_212844,-7.4304,-135.4554,-2.0341,12.219,27.6001,-20.8397,3.1592,1.5033,250,91.7,18,93.807,2148,6.562,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.937,0.474,0.48,0.9,1,1,0,4,36,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
CH,2019-09-28,84.1,2.5613,5.5796,Hyun-Jin Ryu,572073,547943,null,swinging_strike,,3,null,R,R,L,SF,LAD,S,null,null,2,1,2019,1.3424,0.4746,0.5367,2.5838,null,null,null,2,5,Bot,null,null,431145,190928_212812,-7.4104,-122.3198,-1.4832,15.0479,24.9239,-27.2961,3.0378,1.4643,null,null,null,84.365,1715,6.564,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.9357,null,null,null,null,null,null,null,36,4,Changeup,0,1,0,1,1,0,0,1,Infield shift,Standard
FT,2019-09-28,92.6,2.3564,5.5725,Hyun-Jin Ryu,572073,547943,null,foul_tip,,6,null,R,R,L,SF,LAD,S,null,null,2,0,2019,1.4425,0.5579,0.7623,2.2002,null,null,null,2,5,Bot,null,null,431145,190928_212755,-7.2764,-134.677,-4.0477,19.2622,29.056,-24.6602,3.1694,1.4602,null,null,null,93.049,2125,6.57,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.93,null,null,null,null,null,null,null,36,3,2-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
FC,2019-09-28,86.8,2.2946,5.7853,Hyun-Jin Ryu,572073,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,1,0,2019,-0.295,0.6003,0.8974,4.7814,null,null,null,2,5,Bot,null,null,431145,190928_212736,-2.7383,-126.437,2.4702,-2.6836,22.1958,-26.3668,3.2609,1.5157,null,null,null,87.017,2153,6.062,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.438,null,null,null,null,null,null,null,36,2,Cutter,0,1,0,1,1,0,0,1,Infield shift,Standard
FT,2019-09-28,91.5,2.4518,5.6077,Hyun-Jin Ryu,572073,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,0,0,2019,1.4313,0.7904,0.8055,3.5848,null,null,null,2,5,Bot,null,null,431145,190928_212719,-7.3106,-133.1031,-0.9402,18.737,29.1084,-22.7089,3.2691,1.5293,null,null,null,91.933,2141,6.61,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.8897,null,null,null,null,null,null,null,36,1,2-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
FF,2019-09-28,91.8,2.36,5.6017,Hyun-Jin Ryu,664041,547943,field_out,hit_into_play,,4,"Jaylin Davis grounds out, second baseman Gavin Lux to first baseman Max Muncy.  ",R,R,L,SF,LAD,X,4,ground_ball,1,1,2019,0.7614,0.879,-0.7203,2.5554,null,null,null,1,5,Bot,135.89,139.74,431145,190928_212640,-9.4694,-133.498,-3.8168,11.0446,25.9772,-20.9974,3.6706,1.7531,146,83,9.8,92.383,2121,6.458,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.0418,0.51,0.45,0,1,0,0,4,35,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard
FC,2019-09-28,87.1,2.366,5.7665,Hyun-Jin Ryu,664041,547943,null,swinging_strike,,2,null,R,R,L,SF,LAD,S,null,null,1,0,2019,-0.2369,0.4741,-0.167,3.302,null,null,null,1,5,Bot,null,null,431145,190928_212616,-5.5871,-126.8017,-0.7795,-1.5323,23.2491,-27.1158,3.5716,1.755,null,null,null,87.286,2085,6.151,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.3484,null,null,null,null,null,null,null,35,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard
FT,2019-09-28,92.5,2.4483,5.5914,Hyun-Jin Ryu,664041,547943,null,ball,,13,null,R,R,L,SF,LAD,B,null,null,0,0,2019,1.4085,0.361,-0.5072,0.6122,null,null,null,1,5,Bot,null,null,431145,190928_212558,-10.5525,-134.1623,-7.6366,19.1791,27.3567,-26.4593,3.5688,1.7445,null,null,null,92.371,2077,6.264,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.2354,null,null,null,null,null,null,null,35,1,2-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard
FC,2019-09-28,87.4,2.3528,5.7225,Hyun-Jin Ryu,596103,547943,field_out,hit_into_play,,6,"Austin Slater grounds out, shortstop Corey Seager to first baseman Max Muncy.  ",R,R,L,SF,LAD,X,6,ground_ball,1,2,2019,-0.3784,0.2956,0.4285,2.3174,null,null,null,0,5,Bot,108.8,145.62,431145,190928_212524,-3.8514,-127.291,-2.7041,-3.3583,24.1608,-28.6801,3.391,1.6602,8,94.9,-15.2,87.331,2110,6.029,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.4702,0.226,0.218,0,1,0,0,2,34,4,Cutter,0,1,0,1,1,0,0,1,Standard,Strategic
FF,2019-09-28,90.9,2.2979,5.647,Hyun-Jin Ryu,596103,547943,null,called_strike,,13,null,R,R,L,SF,LAD,S,null,null,1,1,2019,0.8533,1.0282,-0.8592,2.1464,null,null,null,0,5,Bot,null,null,431145,190928_212501,-9.7265,-132.1032,-5.1084,11.8865,24.6366,-19.2736,3.3377,1.6116,null,null,null,91.301,2059,6.325,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.1745,null,null,null,null,null,null,null,34,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Strategic
FC,2019-09-28,90.3,2.4004,5.6535,Hyun-Jin Ryu,596103,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,0,1,2019,0.4263,0.9954,0.146,4.2135,null,null,null,0,5,Bot,null,null,431145,190928_212445,-6.5201,-131.4949,0.1431,6.1273,22.63,-20.6884,3.41,1.67,null,null,null,91.072,1918,6.301,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.1986,null,null,null,null,null,null,null,34,2,Cutter,0,1,0,1,1,0,0,1,Standard,Strategic
FT,2019-09-28,90.6,2.5183,5.6364,Hyun-Jin Ryu,596103,547943,null,called_strike,,9,null,R,R,L,SF,LAD,S,null,null,0,0,2019,1.0592,0.4621,0.6754,1.938,null,null,null,0,5,Bot,null,null,431145,190928_212427,-6.8332,-131.811,-4.3483,13.6636,24.425,-26.1537,3.3594,1.6356,null,null,null,90.908,1955,6.202,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.298,null,null,null,null,null,null,null,34,1,2-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Strategic
FC,2019-09-28,88.4,2.4174,5.7918,Hyun-Jin Ryu,607680,547943,field_out,hit_into_play,,1,Kevin Pillar flies out to left fielder Chris Taylor.  ,R,R,L,SF,LAD,X,7,fly_ball,0,1,2019,-0.0497,0.626,-0.7884,2.9957,null,643289,457763,2,4,Bot,64.67,76.71,431145,190928_211003,-7.7103,-128.6638,-2.1599,0.6938,20.912,-24.9448,3.2161,1.5242,322,84.1,30.5,89.196,2023,6.291,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.2081,0.021,0.027,0,1,0,0,3,28,2,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard
CH,2019-09-28,81.8,2.5182,5.5535,Hyun-Jin Ryu,607680,547943,null,called_strike,,4,null,R,R,L,SF,LAD,S,null,null,0,0,2019,1.0289,0.462,-0.6452,2.1118,null,643289,457763,2,4,Bot,null,null,431145,190928_210935,-9.2201,-118.9015,-2.1565,11.5704,20.5441,-27.4945,3.2069,1.5222,null,null,null,82.774,1603,6.778,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.7218,null,null,null,null,null,null,null,28,1,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard
FF,2019-09-28,91.2,2.2449,5.6862,Hyun-Jin Ryu,446334,547943,field_out,hit_into_play,,4,Evan Longoria lines out to right fielder Joc Pederson.  ,R,R,L,SF,LAD,X,9,line_drive,0,1,2019,0.9188,1.0705,-0.4918,2.677,null,643289,457763,1,4,Bot,190.1,79.7,431145,190928_210853,-9.0046,-132.7202,-4.0983,12.9445,26.8807,-18.5622,3.6544,1.6557,320,96.2,23,92.473,2195,6.924,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,53.5752,0.337,0.451,0,1,0,0,5,27,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard
FC,2019-09-28,87.5,2.3989,5.8086,Hyun-Jin Ryu,446334,547943,null,foul,,8,null,R,R,L,SF,LAD,S,null,null,0,0,2019,0.4988,0.6194,0.2282,1.9915,null,643289,457763,1,4,Bot,null,null,431145,190928_210818,-6.2836,-127.415,-4.46,6.5919,21.9082,-24.7397,3.67,1.69,9,70.9,-13.5,88.35,2136,6.42,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.0796,null,null,null,null,null,null,null,27,1,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard
CH,2019-09-28,82.6,2.5921,5.5891,Hyun-Jin Ryu,457763,547943,single,hit_into_play_no_out,,14,Buster Posey singles on a ground ball to right fielder Joc Pederson.   Mauricio Dubon to 2nd.  ,R,R,L,SF,LAD,X,9,ground_ball,1,0,2019,1.0367,0.4607,0.9547,1.7284,null,null,643289,1,4,Bot,163.15,114.63,431145,190928_210726,-5.7698,-120.258,-3.2486,11.1799,21.5357,-27.2773,3.4419,1.624,32,75.5,-0.8,83.131,1582,6.443,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.0569,0.15,0.142,0.9,1,1,0,2,26,2,Changeup,0,0,0,0,0,0,0,0,Infield shift,Strategic
FC,2019-09-28,86.6,2.2622,5.6762,Hyun-Jin Ryu,457763,547943,null,ball,,13,null,R,R,L,SF,LAD,B,null,null,0,0,2019,-0.3416,0.596,-0.9953,1.2919,null,null,643289,1,4,Bot,null,null,431145,190928_210659,-7.0982,-126.0984,-5.5906,-2.4717,21.6732,-24.9516,3.4594,1.646,null,null,null,87.375,2117,6.4,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.0999,null,null,null,null,null,null,null,26,1,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic
CU,2019-09-28,72.4,2.3943,5.7828,Hyun-Jin Ryu,643289,547943,single,hit_into_play_no_out,,8,Mauricio Dubon singles on a ground ball to center fielder Cody Bellinger.  ,R,R,L,SF,LAD,X,8,ground_ball,0,0,2019,-1.2897,-1.0379,0.1972,1.8424,null,null,null,1,4,Bot,114.39,101.42,431145,190928_210627,-2.2105,-105.3617,1.2839,-9.0114,18.3145,-40.2088,3.2069,1.5523,72,95.9,3.3,71.659,2643,5.766,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.7336,0.526,0.486,0.9,1,1,0,4,25,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard
FC,2019-09-28,86.8,2.4767,5.8516,Hyun-Jin Ryu,456781,547943,strikeout,called_strike,,6,Donovan Solano called out on strikes.  ,R,R,L,SF,LAD,S,2,null,0,2,2019,-0.4382,0.7374,0.7547,2.3673,null,null,null,0,4,Bot,null,null,431145,190928_210549,-3.2335,-126.5875,-3.7855,-4.2197,20.8989,-23.7288,3.0473,1.4316,null,null,null,87.542,2128,6.213,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.2869,null,null,0,1,0,0,null,24,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard
FF,2019-09-28,90,2.4162,5.6946,Hyun-Jin Ryu,456781,547943,null,foul,,3,null,R,R,L,SF,LAD,S,null,null,0,1,2019,0.8848,0.9547,0.2829,2.8302,null,null,null,0,4,Bot,null,null,431145,190928_210530,-7.1752,-130.9108,-3.1872,11.6536,26.2659,-20.7165,3.1211,1.4606,257,81.4,33.8,90.27,2033,6.366,566550,547943,431145,571970,666158,607461,608369,621035,641355,592626,54.1336,null,null,null,null,null,null,null,24,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
